Name: Jota do Barrio do Ceo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-do-barrio-do-ceo/jota-do-barrio-do-ceo-partitura/@@display-file/midi/Jota%20do%20Barrio%20do%20Ceo.midi , File: 0.mid, Tracks: 2, Length: 27.2727 
Name: Jota do Val de Xestoso - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-do-val-de-xestoso/jota-do-val-de-xestoso-partitura/@@display-file/midi/Jota%20do%20Val%20de%20Xestoso.midi , File: 11.mid, Tracks: 1, Length: 42.545412 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-29/jota-partitura/@@display-file/midi/Jota.midi , File: 12.mid, Tracks: 1, Length: 49.363587 
Name: Jota de Tui - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-tui/jota-de-tui-partitura-1/@@display-file/midi/Jota%20de%20Tui.midi , File: 13.mid, Tracks: 1, Length: 36.160695 
Name: Jota de Tui - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-tui/jota-de-tui-partitura/@@display-file/midi/Jota%20de%20Tui.midi , File: 14.mid, Tracks: 1, Length: 28.428543 
Name: Blanca o Negra - Partitura , Link: https://folkotecagalega.com/pezas/jotas/blanca-o-negra/blanca-o-negra-partitura/@@display-file/midi/Blanca%20o%20Negra.midi , File: 15.mid, Tracks: 2, Length: 37.95 
Name: Blanca o Negra - Partitura , Link: https://folkotecagalega.com/pezas/jotas/blanca-o-negra/blanca-o-negra-partitura-1/@@display-file/midi/Blanca%20o%20Negra.midi , File: 16.mid, Tracks: 2, Length: 44.1 
Name: Jota de Pol - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-pol/jota-de-pol-partitura/@@display-file/midi/Jota%20Pol.midi , File: 17.mid, Tracks: 1, Length: 29.99997 
Name: Jota do Alledo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-do-alledo/jota-do-alledo-partitura/@@display-file/midi/Jota%20do%20Alledo.midi , File: 18.mid, Tracks: 1, Length: 39.6 
Name: Jota dos 28 puntos - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-dos-28-puntos/jota-dos-28-puntos-partitura-1/@@display-file/midi/Jota%20dos%2028%20puntos.midi , File: 19.mid, Tracks: 1, Length: 41.363595 
Name: Jota dos 28 Puntos - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-dos-28-puntos/jota-dos-28-puntos-partitura/@@display-file/midi/Jota%20dos%2028%20Puntos.midi , File: 20.mid, Tracks: 1, Length: 54.3 
Name: Jota de Son - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-son-1/jota-de-son-partitura-1/@@display-file/midi/Jota%20de%20Son.midi , File: 21.mid, Tracks: 1, Length: 44.181774 
Name: Jota de Son - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-son-1/jota-de-son-partitura/@@display-file/midi/Jota%20de%20Son.midi , File: 22.mid, Tracks: 1, Length: 53.454492 
Name: Jota de Corneantes - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-corneantes/jota-de-corneantes-partitura-1/@@display-file/midi/Jota%20de%20Corneantes.midi , File: 23.mid, Tracks: 1, Length: 79.411725 
Name: Jota de Corneantes - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-corneantes/jota-de-corneantes-partitura-2/@@display-file/midi/Jota%20de%20Corneantes.midi , File: 24.mid, Tracks: 1, Length: 35.181783 
Name: Jota de Corneantes - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-corneantes/jota-de-corneantes-partitura-3/@@display-file/midi/Jota%20de%20Corneantes.midi , File: 25.mid, Tracks: 2, Length: 73.058787 
Name: Jota de Corneantes - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-corneantes/jota-de-corneantes-partitura/@@display-file/midi/Jota%20de%20Corneantes.midi , File: 26.mid, Tracks: 1, Length: 47.8694615 
Name: Rapaza, que tes? - Partitura , Link: https://folkotecagalega.com/pezas/jotas/rapaza-que-tes/rapaza-que-tes-partitura/@@display-file/midi/Rapaza,%20que%20tes?.midi , File: 27.mid, Tracks: 2, Length: 48.875 
Name: O paporroibo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/o-paporroibo/o-paporrubio-partitura/@@display-file/midi/O%20papororoibo.midi , File: 28.mid, Tracks: 1, Length: 37.625 
Name: Jota de Cures - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-cures/jota-de-cures-partitura-1/@@display-file/midi/Jota%20de%20Cures.midi , File: 29.mid, Tracks: 1, Length: 70.363566 
Name: Jota de Cures - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-cures/jota-de-cures-partitura/@@display-file/midi/Jota%20de%20Cures.midi , File: 30.mid, Tracks: 1, Length: 32.288099 
Name: Jota de San Xián de Freixo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-san-xian-de-freixo/jota-de-san-xian-de-freixo-partitura/@@display-file/midi/Jota%20de%20San%20Xi%C3%A1n%20de%20Freixo.midi , File: 31.mid, Tracks: 1, Length: 43.44 
Name: Jota da Fonsagrada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-da-fonsagrada-3/jota-da-fonsagrada-partitura/@@display-file/midi/Jota%20da%20Fonsagrada.midi , File: 32.mid, Tracks: 1, Length: 39.4090515 
Name: Jota de San Pedro de Río - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-san-pedro-de-rio/jota-de-san-pedro-de-rio-partitura/@@display-file/midi/Jota%20de%20San%20Pedro%20de%20R%C3%ADo.midi , File: 33.mid, Tracks: 1, Length: 59.727213 
Name: Jota de Oirós - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-oiros/jota-de-oiros-partitura/@@display-file/midi/Jota%20Oir%C3%B3s.midi , File: 34.mid, Tracks: 1, Length: 60.545394 
Name: Jota de Cabra - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-cabra/jota-de-cabra-partitura/@@display-file/midi/Jota%20de%20Cabra.midi , File: 35.mid, Tracks: 2, Length: 41.6086055 
Name: Jota da Fonsagrada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-da-fonsagrada-2/jota-da-fonsagrada-partitura/@@display-file/midi/Jota%20da%20Fonsagrada.midi , File: 36.mid, Tracks: 2, Length: 54.1363095 
Name: Jota da Fonsagrada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-da-fonsagrada-1/jota-da-fonsagrada-partitura/@@display-file/midi/Jota%20da%20Fonsagrada.midi , File: 37.mid, Tracks: 1, Length: 32.8636035 
Name: Jota de Sergio - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-2/jota-de-sergio-partitura/@@display-file/midi/Jota%20de%20Sergio.midi , File: 38.mid, Tracks: 1, Length: 55.8 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-2/jota-partitura/@@display-file/midi/Jota.midi , File: 39.mid, Tracks: 1, Length: 42.875 
Name: La Manuela - Partitura , Link: https://folkotecagalega.com/pezas/jotas/la-manuela/la-manuela-partitura/@@display-file/midi/La%20Manuela.midi , File: 40.mid, Tracks: 1, Length: 51.545403 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-27/jota-partitura/@@display-file/midi/Jota.midi , File: 41.mid, Tracks: 2, Length: 53.454492 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-26/jota-partitura/@@display-file/midi/Jota.midi , File: 42.mid, Tracks: 1, Length: 42.875 
Name: Lembranzas de Soutelo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/lembranzas-de-soutelo/lembranzas-de-soutelo-partitura/@@display-file/midi/Lembranzas%20de%20Soutelo.midi , File: 43.mid, Tracks: 1, Length: 42.6 
Name: Lembranzas de Soutelo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/lembranzas-de-soutelo/lembranzas-de-soutelo-partitura-1/@@display-file/midi/Lembranzas%20de%20Soutelo.midi , File: 44.mid, Tracks: 1, Length: 27.1363365 
Name: Jota de Xestoso de Lor - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-xestoso-de-lor-1/jota-de-xestoso-de-lor-partitura/@@display-file/midi/Jota%20de%20Xestoso%20de%20Lor.midi , File: 45.mid, Tracks: 1, Length: 42.818139 
Name: Adiós meu homiño - Partitura , Link: https://folkotecagalega.com/pezas/jotas/adios-meu-homino/adios-meu-homino-partitura/@@display-file/midi/Adi%C3%B3s%20meu%20homi%C3%B1o.midi , File: 46.mid, Tracks: 1, Length: 44.7390335 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-25/jota-partitura/@@display-file/midi/Jota.midi , File: 47.mid, Tracks: 1, Length: 43.363593 
Name: Jota cuadrada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-cuadrada/jota-cuadrada-partitura/@@display-file/midi/Jota%20cuadrada.midi , File: 48.mid, Tracks: 1, Length: 46.05 
Name: Jota Requinteada de Paulino - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-requinteada-de-paulino/jota-requinteada-de-paulino-partitura/@@display-file/midi/Jota%20Requinteada%20de%20Paulino.midi , File: 49.mid, Tracks: 1, Length: 29.5 
Name: Jota Requinteada de Paulino - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-requinteada-de-paulino/jota-requinteada-de-paulino-partitura-1/@@display-file/midi/Jota%20Requinteada%20de%20Paulino.midi , File: 50.mid, Tracks: 2, Length: 51.6817665 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-24/jota-partitura/@@display-file/midi/Jota.midi , File: 51.mid, Tracks: 1, Length: 55.7726715 
Name: Xota para mi abuela - Partitura , Link: https://folkotecagalega.com/pezas/jotas/xota-para-mi-abuela/xota-para-mi-abuela-partitura/@@display-file/midi/Xota%20para%20mi%20abuela.midi , File: 52.mid, Tracks: 1, Length: 112.907557547 
Name: Jota de Pacios - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-pacios/jota-de-pacios-partitura/@@display-file/midi/Jota%20de%20Pacios.midi , File: 53.mid, Tracks: 2, Length: 78.6817395 
Name: Jota de Folgoso - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-folgoso-1/jota-de-folgoso-partitura/@@display-file/midi/Jota%20de%20Folgoso.midi , File: 54.mid, Tracks: 2, Length: 42.6817755 
Name: Jota de Visantoña - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-visantona/jota-de-visantona-partitura/@@display-file/midi/Jota%20de%20Visanto%C3%B1a.midi , File: 55.mid, Tracks: 1, Length: 54.1363095 
Name: Na Franqueira - Partitura , Link: https://folkotecagalega.com/pezas/jotas/na-franqueira/na-franqueira-partitura/@@display-file/midi/Na%20Franqueira.midi , File: 56.mid, Tracks: 1, Length: 34.5 
Name: Ó saír para a romaría - Partitura , Link: https://folkotecagalega.com/pezas/jotas/o-sair-para-a-romaria/o-sair-para-a-romaria-partitura-1/@@display-file/midi/%C3%93%20sa%C3%ADr%20para%20a%20romar%C3%ADa.midi , File: 57.mid, Tracks: 1, Length: 78.333255 
Name: Ó saír para a romaría - Partitura , Link: https://folkotecagalega.com/pezas/jotas/o-sair-para-a-romaria/o-sair-para-a-romaria-partitura/@@display-file/midi/%C3%93%20sa%C3%ADr%20para%20a%20romar%C3%ADa.midi , File: 58.mid, Tracks: 1, Length: 34.5 
Name: Jota de Soutelo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-soutelo/jota-de-soutelo-partitura/@@display-file/midi/Jota%20de%20Soutelo.midi , File: 59.mid, Tracks: 1, Length: 28.636335 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-4/jota-partitura/@@display-file/midi/Jota.midi , File: 60.mid, Tracks: 2, Length: 28.636335 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-21/jota-partitura/@@display-file/midi/Jota.midi , File: 61.mid, Tracks: 2, Length: 50.8635855 
Name: Jota do Vilarón - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-do-vilaron/jota-do-vilaron-partitura/@@display-file/midi/Jota%20do%20Vilar%C3%B3n.midi , File: 62.mid, Tracks: 1, Length: 41.727231 
Name: Jota de Laracha - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-laracha/jota-de-laracha-partitura/@@display-file/midi/Jota%20de%20Laracha.midi , File: 63.mid, Tracks: 1, Length: 44.1 
Name: Jota de Farelo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-farelo/jota-de-farelo-partitura/@@display-file/midi/Jota%20de%20Farelo.midi , File: 64.mid, Tracks: 1, Length: 53.181765 
Name: Jota de Beigondo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-beigondo/jota-de-beigondo-partitura/@@display-file/midi/Jota%20de%20Beigondo.midi , File: 65.mid, Tracks: 1, Length: 48.4090425 
Name: Jota da Cruña - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-da-cruna/jota-da-cruna-partitura/@@display-file/midi/Jota%20da%20Cru%C3%B1a.midi , File: 66.mid, Tracks: 1, Length: 57.6085925 
Name: Jota a miña galega - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-a-mina-galega/jota-a-mina-galega-partitura/@@display-file/midi/Jota%20a%20mi%C3%B1a%20galega.midi , File: 67.mid, Tracks: 1, Length: 54.1363095 
Name: Jota para Sotelino - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-para-sotelino/jota-para-sotelino-partitura/@@display-file/midi/Jota%20para%20Sotelino.midi , File: 68.mid, Tracks: 2, Length: 78.333255 
Name: Jota de Espiñarcao - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-espinarcao/jota-de-espinarcao-partitura/@@display-file/midi/Jota%20de%20Espi%C3%B1arcao.midi , File: 69.mid, Tracks: 2, Length: 73.95 
Name: Jota de Emilio - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-13/jota-de-emilio-partitura/@@display-file/midi/Jota%20de%20Emilio.midi , File: 70.mid, Tracks: 1, Length: 94.2271785 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-13/jota-partitura/@@display-file/midi/Jota.midi , File: 71.mid, Tracks: 2, Length: 66.272661 
Name: Jota Roubada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-roubada/jota-roubada-partitura-1/@@display-file/midi/Jota%20Roubada.midi , File: 72.mid, Tracks: 1, Length: 55.090854 
Name: Jota Roubada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-roubada/jota-roubada-partitura/@@display-file/midi/Jota%20Roubada.midi , File: 73.mid, Tracks: 2, Length: 31.2272415 
Name: Jota de Lobios - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-lobios/jota-de-lobios-partitura/@@display-file/midi/Jota%20de%20Lobios.midi , File: 74.mid, Tracks: 1, Length: 55.95 
Name: A Muller que Capa Ós Homes - Partitura , Link: https://folkotecagalega.com/pezas/jotas/a-muller-que-capa-os-homes/a-muller-que-capa-os-homes-partitura/@@display-file/midi/A%20Muller%20que%20Capa%20%C3%93s%20Homes.midi , File: 75.mid, Tracks: 1, Length: 70.4999295 
Name: Jota de Arbo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-arbo/jota-de-arbo-partitura/@@display-file/midi/Jota%20de%20Arbo.midi , File: 76.mid, Tracks: 2, Length: 79.363557 
Name: Rabiera , Link: https://folkotecagalega.com/pezas/jotas/rabiera/rabiera/@@display-file/midi/Rabiera.midi , File: 77.mid, Tracks: 2, Length: 37.7726895 
Name: Jota do Pia Páxaro , Link: https://folkotecagalega.com/pezas/jotas/jota-do-pia-paxaro/jota-do-pia-paxaro/@@display-file/midi/Jota%20do%20Pia%20P%C3%A1xaro.midi , File: 78.mid, Tracks: 1, Length: 24.25 
Name: Terra Meiga - Partitura , Link: https://folkotecagalega.com/pezas/jotas/terra-meiga/terra-meiga-partitura/@@display-file/midi/Terra%20meiga.midi , File: 79.mid, Tracks: 1, Length: 51.20676 
Name: Fogueteira - Partitura , Link: https://folkotecagalega.com/pezas/jotas/fogueteira/fogueteira-partitura/@@display-file/midi/Fogueteira.midi , File: 80.mid, Tracks: 1, Length: 37.090872 
Name: Jota de Leitariegos - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-leitariegos/jota-de-leitariegos-partitura/@@display-file/midi/Jota%20de%20Leitariegos.midi , File: 81.mid, Tracks: 2, Length: 53.181765 
Name: Jota Requinteada de Seivane - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-requinteada-de-seivane/jota-requinteada-de-seivane-partitura/@@display-file/midi/Jota%20Requinteada%20de%20Seivane.midi , File: 82.mid, Tracks: 1, Length: 50.0454045 
Name: Jota de Millarada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-millarada/jota-de-millarada-partitura/@@display-file/midi/Jota%20de%20Millarada.midi , File: 83.mid, Tracks: 1, Length: 60.545394 
Name: Jota dos Ancares - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-dos-ancares/jota-dos-ancares-partitura/@@display-file/midi/Jota%20dos%20Ancares.midi , File: 84.mid, Tracks: 2, Length: 53.3181285 
Name: Jota de Quindous - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-quindous/jota-de-quindous-partitura/@@display-file/midi/Jota%20de%20Quindous.midi , File: 85.mid, Tracks: 1, Length: 35.181783 
Name: Foliada do Xosé - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-quindous/foliada-do-xose-partitura/@@display-file/midi/Foliada%20do%20Xos%C3%A9.midi , File: 86.mid, Tracks: 1, Length: 22.4999775 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-20/jota-partitura/@@display-file/midi/Jota.midi , File: 87.mid, Tracks: 1, Length: 74.727198 
Name: Jota de Ordes - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-ordes-1/jota-de-ordes-partitura/@@display-file/midi/Jota%20de%20Ordes.midi , File: 88.mid, Tracks: 2, Length: 42.545412 
Name: Jota das Muiñas - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-das-muinas/jota-das-muinas-partitura/@@display-file/midi/Jota%20das%20Mui%C3%B1as.midi , File: 89.mid, Tracks: 2, Length: 92.9544525 
Name: Jota de Arbo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-arbo-1/jota-de-arbo-partitura/@@display-file/midi/Jota%20de%20Arbo.midi , File: 90.mid, Tracks: 1, Length: 40.2272325 
Name: Jota de Malpica - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-malpica/jota-de-malpica-partitura/@@display-file/midi/Jota%20de%20Malpica.midi , File: 91.mid, Tracks: 2, Length: 138.75 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-12/jota-partitura/@@display-file/midi/Jota.midi , File: 92.mid, Tracks: 2, Length: 104.0453505 
Name: Jota da Fonsagrada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-da-fonsagrada/jota-da-fonsagrada-partitura/@@display-file/midi/Jota.midi , File: 93.mid, Tracks: 1, Length: 53.181765 
Name: Jota da Fonsagrada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-da-fonsagrada/jota-da-fonsagrada-partitura-1/@@display-file/midi/Jota%20da%20Fonsagrada.midi , File: 94.mid, Tracks: 1, Length: 40.625 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-6/jota-partitura-1/@@display-file/midi/Jota.midi , File: 95.mid, Tracks: 1, Length: 23.375 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-6/jota-partitura/@@display-file/midi/Jota.midi , File: 96.mid, Tracks: 1, Length: 41.375 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-19/jota-partitura/@@display-file/midi/Jota.midi , File: 97.mid, Tracks: 1, Length: 47.951637 
Name: Jota de Ourense - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-ourense/jota-de-ourense-partitura-1/@@display-file/midi/Jota%20de%20Ourense.midi , File: 98.mid, Tracks: 1, Length: 37.090872 
Name: Jota de Ourense - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-ourense/jota-de-ourense-partitura/@@display-file/midi/Jota%20de%20Ourense.midi , File: 99.mid, Tracks: 1, Length: 41.55 
Name: Jota de Mercurín - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-ordes/jota-de-mercurin-partitura/@@display-file/midi/Jota%20de%20Mercur%C3%ADn.midi , File: 100.mid, Tracks: 1, Length: 29.727243 
Name: Jota de Ordes - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-ordes/jota-de-ordes-partitura/@@display-file/midi/Jota%20de%20Ordes.midi , File: 101.mid, Tracks: 1, Length: 123.75 
Name: Jota das Hortas - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-das-hortas/jota-das-hortas-partitura/@@display-file/midi/Jota%20das%20Hortas.midi , File: 102.mid, Tracks: 1, Length: 40.90905 
Name: Jota de Menduiña - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-menduina/jota-de-menduina-partitura/@@display-file/midi/Jota%20de%20Mendui%C3%B1a.midi , File: 103.mid, Tracks: 1, Length: 37.090872 
Name: Jota da Tomada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-da-tomada/jota-da-tomada-partitura/@@display-file/midi/Jota%20da%20Tomada.midi , File: 104.mid, Tracks: 1, Length: 41.0454135 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-17/jota-partitura/@@display-file/midi/Jota.midi , File: 105.mid, Tracks: 1, Length: 42.545412 
Name: A Regueifa - Partitura , Link: https://folkotecagalega.com/pezas/jotas/a-regueifa/a-regueifa-partitura/@@display-file/midi/A%20Regueifa.midi , File: 106.mid, Tracks: 1, Length: 38.727234 
Name: Chouteira do Lérez - Partitura , Link: https://folkotecagalega.com/pezas/jotas/chouteira-do-lerez/chouteira-do-lerez-partitura/@@display-file/midi/Chouteira%20do%20L%C3%A9rez.midi , File: 107.mid, Tracks: 2, Length: 78.6817395 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-16/jota-partitura/@@display-file/midi/Jota.midi , File: 108.mid, Tracks: 1, Length: 136.872814 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-15/jota-partitura/@@display-file/midi/Jota.midi , File: 109.mid, Tracks: 2, Length: 174.3 
Name: Jota de Bacariza - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-taboada/jota-de-bacariza-partitura/@@display-file/midi/Jota%20de%20Bacariza.midi , File: 110.mid, Tracks: 1, Length: 175.2332652 
Name: Jota de Taboada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-taboada/jota-de-taboada-partitura/@@display-file/midi/Jota%20de%20Taboada.midi , File: 111.mid, Tracks: 2, Length: 193.8050618 
Name: Jota de Pacios de Mourisco - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-pacios-de-mourisco/jota-de-pacios-de-mourisco-partitura/@@display-file/midi/Jota%20de%20Pacios%20de%20Mourisco.midi , File: 112.mid, Tracks: 1, Length: 84.5 
Name: Jota de Pontevedra - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-pontevedra-6/jota-de-pontevedra-partitura/@@display-file/midi/Jota%20de%20Pontevedra.midi , File: 113.mid, Tracks: 1, Length: 61.363575 
Name: Foliada - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-pontevedra-6/foliada-partitura/@@display-file/midi/Foliada.midi , File: 114.mid, Tracks: 2, Length: 60.42 
Name: Jota de Poio - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-poio/jota-de-poio-partitura/@@display-file/midi/Jota%20de%20Poio.midi , File: 115.mid, Tracks: 2, Length: 109.92 
Name: Fandango de Manuel Villanueva , Link: https://folkotecagalega.com/pezas/jotas/jota-de-poio/fandango-de-manuel-villanueva/@@display-file/midi/Fandango%20de%20Manuel%20Villanueva.midi , File: 116.mid, Tracks: 2, Length: 98.3999016 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-14/jota-partitura/@@display-file/midi/Jota.midi , File: 117.mid, Tracks: 2, Length: 81.12 
Name: Jota - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-1/jota-partitura/@@display-file/midi/Jota.midi , File: 118.mid, Tracks: 1, Length: 113.8103556 
Name: Jota de Xermil - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-xermil/jota-de-xermil-partitura/@@display-file/midi/Jota%20de%20Xermil.midi , File: 119.mid, Tracks: 2, Length: 162.156782288 
